ಅಂಕ	ಅ ಂ ಕ |
ಇಮ್ರಾನ್	ಇ ಮ ್ ರ ಾ ನ ್ |
ಇಮ್ರಾಪೂರ	ಇ ಮ ್ ರ ಾ ಪ ೂ ರ |
ಇಯಾನ್	ಇ ಯ ಾ ನ ್ |
ಇರಬೇಕು	ಇ ರ ಬ ೇ ಕ ು |
ಇರಲು	ಇ ರ ಲ ು |
ಇರು	ಇ ರ ು |
ಇರುತ್ತದೆ	ಇ ರ ು ತ ್ ತ ದ ೆ |
ಇರುತ್ತವೆ	ಇ ರ ು ತ ್ ತ ವ ೆ |
ಇರುವ	ಇ ರ ು ವ |
ಇರುವುದು	ಇ ರ ು ವ ು ದ ು |
ಇರುವೆಗಳು	ಇ ರ ು ವ ೆ ಗ ಳ ು |
ಇಲಾಖೆ	ಇ ಲ ಾ ಖ ೆ |
ಇಲ್ಲ	ಇ ಲ ್ ಲ |
ಇಲ್ಲದೆ	ಇ ಲ ್ ಲ ದ ೆ |
ಇಲ್ಲವಾದರೆ	ಇ ಲ ್ ಲ ವ ಾ ದ ರ ೆ |
ಇಲ್ಲವೆ	ಇ ಲ ್ ಲ ವ ೆ |
ಇಲ್ಲಾಂದ್ರೆ	ಇ ಲ ್ ಲ ಾ ಂ ದ ್ ರ ೆ |
ಇಲ್ಲಿ	ಇ ಲ ್ ಲ ಿ |
ಇಲ್ಲಿಯ	ಇ ಲ ್ ಲ ಿ ಯ |
ಇಳಯ	ಇ ಳ ಯ |
ಇಳಿ	ಇ ಳ ಿ |
ಇವತ್ತು	ಇ ವ ತ ್ ತ ು |
ಇವನು	ಇ ವ ನ ು |
ಇವರ	ಇ ವ ರ |
ಇವರು	ಇ ವ ರ ು |
ಇವು	ಇ ವ ು |
ಇವೆ	ಇ ವ ೆ |
ಇಷ್ಕ	ಇ ಷ ್ ಕ |
ಇಷ್ಟ	ಇ ಷ ್ ಟ |
ಇಷ್ಟು	ಇ ಷ ್ ಟ ು |
ಇಷ್ಟುಹೊತ್ತಿಗೆ	ಇ ಷ ್ ಟ ು ಹ ೊ ತ ್ ತ ಿ ಗ ೆ |
ಈ	ಈ |
ಈಗ	ಈ ಗ |
ಈಚೆ	ಈ ಚ ೆ |
ಈಜು	ಈ ಜ ು |
ಈಟಾನಗರ	ಈ ಟ ಾ ನ ಗ ರ |
ಈತ	ಈ ತ |
ಈರುಳ್ಳಿ	ಈ ರ ು ಳ ್ ಳ ಿ |
ಈರೋಡ್	ಈ ರ ೋ ಡ ್ |
ಈಲಹಾಬಾದ್	ಈ ಲ ಹ ಾ ಬ ಾ ದ ್ |
ಈಳಿಗೆ	ಈ ಳ ಿ ಗ ೆ |
ಈವರೆಗೆ	ಈ ವ ರ ೆ ಗ ೆ |
ಈಶ	ಈ ಶ |
ಈಶಾನ್ಯ	ಈ ಶ ಾ ನ ್ ಯ |
ಉಂಗುರ	ಉ ಂ ಗ ು ರ |
ಉಂಗುರವನ್ನು	ಉ ಂ ಗ ು ರ ವ ನ ್ ನ ು |
ಉಂಟು	ಉ ಂ ಟ ು |
ಉಗಿ	ಉ ಗ ಿ |
ಉಗುರು	ಉ ಗ ು ರ ು |
ಉಜ್ಜು	ಉ ಜ ್ ಜ ು |
ಉಡುಗೊರೆಯಾಗಿ	ಉ ಡ ು ಗ ೊ ರ ೆ ಯ ಾ ಗ ಿ |
ಉಡುತಡಿ	ಉ ಡ ು ತ ಡ ಿ |
ಉಡುಪಿ	ಉ ಡ ು ಪ ಿ |
ಉಣ್ಣೆಯ	ಉ ಣ ್ ಣ ೆ ಯ |
ಉತ್ತಮ	ಉ ತ ್ ತ ಮ |
ಉತ್ತರ	ಉ ತ ್ ತ ರ |
ಉತ್ತರಹಳ್ಳಿ	ಉ ತ ್ ತ ರ ಹ ಳ ್ ಳ ಿ |
ಉತ್ಪಾದನೆ	ಉ ತ ್ ಪ ಾ ದ ನ ೆ |
ಉತ್ಸಾಹ	ಉ ತ ್ ಸ ಾ ಹ |
ಉದಯ್	ಉ ದ ಯ ್ |
ಉದಾಸ್	ಉ ದ ಾ ಸ ್ |
ಉದಾಹರಣೆ	ಉ ದ ಾ ಹ ರ ಣ ೆ |
ಉದಿತ್	ಉ ದ ಿ ತ ್ |
ಉದ್ದ	ಉ ದ ್ ದ |
ಉದ್ದದ	ಉ ದ ್ ದ ದ |
ಉದ್ದನ್ನು	ಉ ದ ್ ದ ನ ್ ನ ು |
ಉದ್ದು	ಉ ದ ್ ದ ು |
ಉದ್ದೇಶ	ಉ ದ ್ ದ ೇ ಶ |
ಉದ್ಯೋಗ	ಉ ದ ್ ಯ ೋ ಗ |
ಉನ್ನತ	ಉ ನ ್ ನ ತ |
ಉನ್ನಾವ	ಉ ನ ್ ನ ಾ ವ |
ಉಪ	ಉ ಪ |
ಉಪಕಾರಿ	ಉ ಪ ಕ ಾ ರ ಿ |
ಉಪಮುಖ್ಯಮಂತ್ರಿ	ಉ ಪ ಮ ು ಖ ್ ಯ ಮ ಂ ತ ್ ರ ಿ |
ಉಪಯೋಗ	ಉ ಪ ಯ ೋ ಗ |
ಉಪಯೋಗಿಸುತ್ತಿರುವ	ಉ ಪ ಯ ೋ ಗ ಿ ಸ ು ತ ್ ತ ಿ ರ ು ವ |
ಉಪಾಧ್ಯಕ್ಷ	ಉ ಪ ಾ ಧ ್ ಯ ಕ ್ ಷ |
ಉಪೇಂದ್ರ	ಉ ಪ ೇ ಂ ದ ್ ರ |
ಉಪ್ಪಾರ	ಉ ಪ ್ ಪ ಾ ರ |
ಉಭಯ	ಉ ಭ ಯ |
ಉರಿಯುತ್ತದೆ	ಉ ರ ಿ ಯ ು ತ ್ ತ ದ ೆ |
ಉರುಳು	ಉ ರ ು ಳ ು |
ಉಲಹಕ್	ಉ ಲ ಹ ಕ ್ |
ಉಲ್ಲೇಖ	ಉ ಲ ್ ಲ ೇ ಖ |
ಉಳಿ	ಉ ಳ ಿ |
ಉಳಿದ	ಉ ಳ ಿ ದ |
ಉಸ್ತುವಾರಿ	ಉ ಸ ್ ತ ು ವ ಾ ರ ಿ |
ಉಸ್ಮಾನಾಬಾದ್	ಉ ಸ ್ ಮ ಾ ನ ಾ ಬ ಾ ದ ್ |
ಊಟ	ಊ ಟ |
ಊಟಕ್ಕಿಂತ	ಊ ಟ ಕ ್ ಕ ಿ ಂ ತ |
ಊಟಕ್ಕಿದ್ದರೆ	ಊ ಟ ಕ ್ ಕ ಿ ದ ್ ದ ರ ೆ |
ಊಟಿ	ಊ ಟ ಿ |
ಊದು	ಊ ದ ು |
ಊನ	ಊ ನ |
ಊರಿಗೆ	ಊ ರ ಿ ಗ ೆ |
ಊರಿನ	ಊ ರ ಿ ನ |
ಊರಿನಲ್ಲಿ	ಊ ರ ಿ ನ ಲ ್ ಲ ಿ |
ಊರು	ಊ ರ ು |
ಊಹೆ	ಊ ಹ ೆ |
ಊಹೆಯ	ಊ ಹ ೆ ಯ |
ಋತು	ಋ ತ ು |
ಋಷಿಕೇಶ	ಋ ಷ ಿ ಕ ೇ ಶ |
ಎಂ	ಎ ಂ |
ಎಂಎಸ್	ಎ ಂ ಎ ಸ ್ |
ಎಂಟನೂರು	ಎ ಂ ಟ ನ ೂ ರ ು |
ಎಂಟನೆಯ	ಎ ಂ ಟ ನ ೆ ಯ |
ಎಂಟು	ಎ ಂ ಟ ು |
ಎಂದ	ಎ ಂ ದ |
ಎಂದರೆ	ಎ ಂ ದ ರ ೆ |
ಎಂದಿಗೂ	ಎ ಂ ದ ಿ ಗ ೂ |
ಎಂದು	ಎ ಂ ದ ು |
ಎಂಪಿ	ಎ ಂ ಪ ಿ |
ಎಂಬ	ಎ ಂ ಬ |
ಎಂಬತ್ತನಾಲ್ಕು	ಎ ಂ ಬ ತ ್ ತ ನ ಾ ಲ ್ ಕ ು |
ಎಂಬತ್ತಮೂರು	ಎ ಂ ಬ ತ ್ ತ ಮ ೂ ರ ು |
ಎಂಬತ್ತಾರು	ಎ ಂ ಬ ತ ್ ತ ಾ ರ ು |
ಎಂಬತ್ತು	ಎ ಂ ಬ ತ ್ ತ ು |
ಎಂಬತ್ತೆಂಟು	ಎ ಂ ಬ ತ ್ ತ ೆ ಂ ಟ ು |
ಎಂಬತ್ತೆರಡು	ಎ ಂ ಬ ತ ್ ತ ೆ ರ ಡ ು |
ಎಂಬತ್ತೇಳು	ಎ ಂ ಬ ತ ್ ತ ೇ ಳ ು |
ಎಂಬತ್ತೈದು	ಎ ಂ ಬ ತ ್ ತ ೈ ದ ು |
ಎಂಬತ್ತೊಂದು	ಎ ಂ ಬ ತ ್ ತ ೊ ಂ ದ ು |
ಎಂಬತ್ತೊಂಬತ್ತು	ಎ ಂ ಬ ತ ್ ತ ೊ ಂ ಬ ತ ್ ತ ು |
ಎಂಬುದು	ಎ ಂ ಬ ು ದ ು |
ಎಆರ್	ಎ ಆ ರ ್ |
ಎಎಲ್	ಎ ಎ ಲ ್ |
ಎಚ್ಚರ	ಎ ಚ ್ ಚ ರ |
ಎಚ್ಚರಿಕೆ	ಎ ಚ ್ ಚ ರ ಿ ಕ ೆ |
ಎಡ	ಎ ಡ |
ಎಡಗಡೆ	ಎ ಡ ಗ ಡ ೆ |
ಎತ್ತರ	ಎ ತ ್ ತ ರ |
ಎತ್ತಿನ	ಎ ತ ್ ತ ಿ ನ |
ಎತ್ತು	ಎ ತ ್ ತ ು |
ಎತ್ತುಗಳು	ಎ ತ ್ ತ ು ಗ ಳ ು |
ಎದುರಾಳಿ	ಎ ದ ು ರ ಾ ಳ ಿ |
ಎದುರಿಸು	ಎ ದ ು ರ ಿ ಸ ು |
ಎದುರು	ಎ ದ ು ರ ು |
ಎದೆ	ಎ ದ ೆ |
ಎದ್ದೇಳಿ	ಎ ದ ್ ದ ೇ ಳ ಿ |
ಎದ್ದೇಳಿಸು	ಎ ದ ್ ದ ೇ ಳ ಿ ಸ ು |
ಎದ್ದೇಳು	ಎ ದ ್ ದ ೇ ಳ ು |
ಎನಿಸು	ಎ ನ ಿ ಸ ು |
ಎನ್	ಎ ನ ್ |
ಎನ್ನು	ಎ ನ ್ ನ ು |
ಎಪಿಜೆ	ಎ ಪ ಿ ಜ ೆ |
ಎಪ್ಪತ್ತನಾಲ್ಕು	ಎ ಪ ್ ಪ ತ ್ ತ ನ ಾ ಲ ್ ಕ ು |
ಎಪ್ಪತ್ತಮೂರು	ಎ ಪ ್ ಪ ತ ್ ತ ಮ ೂ ರ ು |
ಎಪ್ಪತ್ತಾರು	ಎ ಪ ್ ಪ ತ ್ ತ ಾ ರ ು |
ಎಪ್ಪತ್ತು	ಎ ಪ ್ ಪ ತ ್ ತ ು |
ಎಪ್ಪತ್ತೆಂಟು	ಎ ಪ ್ ಪ ತ ್ ತ ೆ ಂ ಟ ು |
ಎಪ್ಪತ್ತೆರಡು	ಎ ಪ ್ ಪ ತ ್ ತ ೆ ರ ಡ ು |
ಎಪ್ಪತ್ತೇಳು	ಎ ಪ ್ ಪ ತ ್ ತ ೇ ಳ ು |
ಎಪ್ಪತ್ತೈದು	ಎ ಪ ್ ಪ ತ ್ ತ ೈ ದ ು |
ಎಪ್ಪತ್ತೊಂದು	ಎ ಪ ್ ಪ ತ ್ ತ ೊ ಂ ದ ು |
ಎಪ್ಪತ್ತೊಂಬತ್ತು	ಎ ಪ ್ ಪ ತ ್ ತ ೊ ಂ ಬ ತ ್ ತ ು |
ಎಫ್	ಎ ಫ ್ |
ಎಮ್ಮೆ	ಎ ಮ ್ ಮ ೆ |
ಎರಡನೆಯ	ಎ ರ ಡ ನ ೆ ಯ |
ಎರಡು	ಎ ರ ಡ ು |
ಎರ್ನಾಕುಲಮ್	ಎ ರ ್ ನ ಾ ಕ ು ಲ ಮ ್ |
ಎಲನಾ	ಎ ಲ ನ ಾ |
ಎಲಿಜೆಬೆತ್	ಎ ಲ ಿ ಜ ೆ ಬ ೆ ತ ್ |
ಎಲುಬು	ಎ ಲ ು ಬ ು |
ಎಲೆ	ಎ ಲ ೆ |
ಎಲ್	ಎ ಲ ್ |
ಎಲ್ಎ	ಎ ಲ ್ ಎ |
ಎಲ್ಲ	ಎ ಲ ್ ಲ |
ಎಲ್ಲರ	ಎ ಲ ್ ಲ ರ |
ಎಲ್ಲರೂ	ಎ ಲ ್ ಲ ರ ೂ |
ಎಲ್ಲಾ	ಎ ಲ ್ ಲ ಾ |
ಎಲ್ಲಾಪುರ	ಎ ಲ ್ ಲ ಾ ಪ ು ರ |
ಎಲ್ಲಿ	ಎ ಲ ್ ಲ ಿ |
ಎಲ್ಲಿಗೆ	ಎ ಲ ್ ಲ ಿ ಗ ೆ |
ಎಳಂದೂರು	ಎ ಳ ಂ ದ ೂ ರ ು |
ಎಳೆ	ಎ ಳ ೆ |
ಎಳೆಯುತ್ತಾರೆ	ಎ ಳ ೆ ಯ ು ತ ್ ತ ಾ ರ ೆ |
ಎಷ್ಟು	ಎ ಷ ್ ಟ ು |
ಎಷ್ಟೇ	ಎ ಷ ್ ಟ ೇ |
ಎಷ್ಟೋದಿನಗಳಾದವು	ಎ ಷ ್ ಟ ೋ ದ ಿ ನ ಗ ಳ ಾ ದ ವ ು |
ಎಸೆತ	ಎ ಸ ೆ ತ |
ಎಸ್	ಎ ಸ ್ |
ಎಸ್ಮಂಜುನಾಥ್	ಎ ಸ ್ ಮ ಂ ಜ ು ನ ಾ ಥ ್ |
ಏಂಡೀ	ಏ ಂ ಡ ೀ |
ಏಂಡ್ರಾ	ಏ ಂ ಡ ್ ರ ಾ |
ಏಕದಿನ	ಏ ಕ ದ ಿ ನ |
ಏಕರೆ	ಏ ಕ ರ ೆ |
ಏಕೆ	ಏ ಕ ೆ |
ಏಕೆಂದರೆ	ಏ ಕ ೆ ಂ ದ ರ ೆ |
ಏಕೈಕ	ಏ ಕ ೈ ಕ |
ಏಡಮ್	ಏ ಡ ಮ ್ |
ಏಡಿ	ಏ ಡ ಿ |
ಏಣಿ	ಏ ಣ ಿ |
ಏಣಿಗಳನ್ನು	ಏ ಣ ಿ ಗ ಳ ನ ್ ನ ು |
ಏನು	ಏ ನ ು |
ಏನೂ	ಏ ನ ೂ |
ಏನೇ	ಏ ನ ೇ |
ಏಪ್ರಿಲ್	ಏ ಪ ್ ರ ಿ ಲ ್ |
ಏರು	ಏ ರ ು |
ಏರುತ್ತೇನೆ	ಏ ರ ು ತ ್ ತ ೇ ನ ೆ |
ಏಳನೆಯ	ಏ ಳ ನ ೆ ಯ |
ಏಳಿಗೆ	ಏ ಳ ಿ ಗ ೆ |
ಏಳು	ಏ ಳ ು |
ಏಳುನೂರು	ಏ ಳ ು ನ ೂ ರ ು |
ಏಸುದಾಸ್	ಏ ಸ ು ದ ಾ ಸ ್ |
ಐತಿಹಾಸಿಕ	ಐ ತ ಿ ಹ ಾ ಸ ಿ ಕ |
ಐದನೆಯ	ಐ ದ ನ ೆ ಯ |
ಐದು	ಐ ದ ು |
ಐನೂರು	ಐ ನ ೂ ರ ು |
ಐವತ್ತಮೂರು	ಐ ವ ತ ್ ತ ಮ ೂ ರ ು |
ಐವತ್ತಾರು	ಐ ವ ತ ್ ತ ಾ ರ ು |
ಐವತ್ತು	ಐ ವ ತ ್ ತ ು |
ಐವತ್ತೆಂಟು	ಐ ವ ತ ್ ತ ೆ ಂ ಟ ು |
ಐವತ್ತೆರಡು	ಐ ವ ತ ್ ತ ೆ ರ ಡ ು |
ಐವತ್ತೇಳು	ಐ ವ ತ ್ ತ ೇ ಳ ು |
ಐವತ್ತೈದು	ಐ ವ ತ ್ ತ ೈ ದ ು |
ಐವತ್ತೊಂದು	ಐ ವ ತ ್ ತ ೊ ಂ ದ ು |
ಐವತ್ತೊಂಬತ್ತು	ಐ ವ ತ ್ ತ ೊ ಂ ಬ ತ ್ ತ ು |
ಐವತ್ನಾಲ್ಕು	ಐ ವ ತ ್ ನ ಾ ಲ ್ ಕ ು |
ಐಶ್ವರ್ಯ	ಐ ಶ ್ ವ ರ ್ ಯ |
ಐಶ್ವರ್ಯರೈ	ಐ ಶ ್ ವ ರ ್ ಯ ರ ೈ |
ಒಂದು	ಒ ಂ ದ ು |
ಒಂದೆಡೆ	ಒ ಂ ದ ೆ ಡ ೆ |
ಒಂದೇ	ಒ ಂ ದ ೇ |
ಒಂಬತ್ತನೆಯ	ಒ ಂ ಬ ತ ್ ತ ನ ೆ ಯ |
ಒಂಬತ್ತು	ಒ ಂ ಬ ತ ್ ತ ು |
ಒಂಬೈನೂರು	ಒ ಂ ಬ ೈ ನ ೂ ರ ು |
ಒಗೆ	ಒ ಗ ೆ |
ಒಗೆದು	ಒ ಗ ೆ ದ ು |
ಒಟ್ಟಾರೆ	ಒ ಟ ್ ಟ ಾ ರ ೆ |
ಒಟ್ಟಿಗೆ	ಒ ಟ ್ ಟ ಿ ಗ ೆ |
ಒಟ್ಟು	ಒ ಟ ್ ಟ ು |
ಒಡೆ	ಒ ಡ ೆ |
ಒಡೆದು	ಒ ಡ ೆ ದ ು |
ಒಡೆಯಬೇಡ	ಒ ಡ ೆ ಯ ಬ ೇ ಡ |
ಒಡೆಯರ್	ಒ ಡ ೆ ಯ ರ ್ |
ಒಡೆಯಿರಿ	ಒ ಡ ೆ ಯ ಿ ರ ಿ |
ಒಣ	ಒ ಣ |
ಒತ್ತಡ	ಒ ತ ್ ತ ಡ |
ಒತ್ತಾಯ	ಒ ತ ್ ತ ಾ ಯ |
ಒತ್ತು	ಒ ತ ್ ತ ು |
ಒದಗು	ಒ ದ ಗ ು |
ಒನಕೆ	ಒ ನ ಕ ೆ |
ಒಪ್ಪಂದ	ಒ ಪ ್ ಪ ಂ ದ |
ಒಪ್ಪಿಗೆ	ಒ ಪ ್ ಪ ಿ ಗ ೆ |
ಒಪ್ಪು	ಒ ಪ ್ ಪ ು |
ಒಬ್ಬ	ಒ ಬ ್ ಬ |
ಒಮ್ಮೆ	ಒ ಮ ್ ಮ ೆ |
ಒಲವು	ಒ ಲ ವ ು |
ಒಳ	ಒ ಳ |
ಒಳಗೆ	ಒ ಳ ಗ ೆ |
ಒಳಗೊಂಡ	ಒ ಳ ಗ ೊ ಂ ಡ |
ಒಳ್ಳೆ	ಒ ಳ ್ ಳ ೆ |
ಒಳ್ಳೆಯ	ಒ ಳ ್ ಳ ೆ ಯ |
ಒಳ್ಳೆಯದಲ್ಲ	ಒ ಳ ್ ಳ ೆ ಯ ದ ಲ ್ ಲ |
ಒಳ್ಳೆಯದಾಗಿರಬೇಕು	ಒ ಳ ್ ಳ ೆ ಯ ದ ಾ ಗ ಿ ರ ಬ ೇ ಕ ು |
ಒಳ್ಳೆಯದು	ಒ ಳ ್ ಳ ೆ ಯ ದ ು |
ಓಂ	ಓ ಂ |
ಓಕುಳಿ	ಓ ಕ ು ಳ ಿ |
ಓಟ	ಓ ಟ |
ಓಟದ	ಓ ಟ ದ |
ಓಡಾಡುತ್ತಾರೆ	ಓ ಡ ಾ ಡ ು ತ ್ ತ ಾ ರ ೆ |
ಓಡಿಸಬೇಡ	ಓ ಡ ಿ ಸ ಬ ೇ ಡ |
ಓಡಿಸಿ	ಓ ಡ ಿ ಸ ಿ |
ಓಡಿಸು	ಓ ಡ ಿ ಸ ು |
ಓಡು	ಓ ಡ ು |
ಓದಬೇಡ	ಓ ದ ಬ ೇ ಡ |
ಓದಿ	ಓ ದ ಿ |
ಓದು	ಓ ದ ು |
ಓದುಗ	ಓ ದ ು ಗ |
ಓಬವ್ವ	ಓ ಬ ವ ್ ವ |
ಓರಗಿತ್ತಿ	ಓ ರ ಗ ಿ ತ ್ ತ ಿ |
ಓರಣ	ಓ ರ ಣ |
ಓಹೋ	ಓ ಹ ೋ |
ಔರಂಗಾಬಾದ್	ಔ ರ ಂ ಗ ಾ ಬ ಾ ದ ್ |
ಕ	ಕ |
ಕಂಕುಳ	ಕ ಂ ಕ ು ಳ |
ಕಂಗನಾ	ಕ ಂ ಗ ನ ಾ |
ಕಂಚಿ	ಕ ಂ ಚ ಿ |
ಕಂಚಿನ	ಕ ಂ ಚ ಿ ನ |
ಕಂಡ	ಕ ಂ ಡ |
ಕಂಡರೆ	ಕ ಂ ಡ ರ ೆ |
ಕಂಡು	ಕ ಂ ಡ ು |
ಕಂಡುಬರು	ಕ ಂ ಡ ು ಬ ರ ು |
ಕಂದು	ಕ ಂ ದ ು |
ಕಂಪನಿ	ಕ ಂ ಪ ನ ಿ |
ಕಂಪಲಿ	ಕ ಂ ಪ ಲ ಿ |
ಕಂಪಿಲ್	ಕ ಂ ಪ ಿ ಲ ್ |
ಕಂಬ್ಲಿ	ಕ ಂ ಬ ್ ಲ ಿ |
ಕಚೇರಿ	ಕ ಚ ೇ ರ ಿ |
ಕಜ್ಜಿ	ಕ ಜ ್ ಜ ಿ |
ಕಟಕ್	ಕ ಟ ಕ ್ |
ಕಟಿಹಾರ	ಕ ಟ ಿ ಹ ಾ ರ |
ಕಟ್ಟಡ	ಕ ಟ ್ ಟ ಡ |
ಕಟ್ಟು	ಕ ಟ ್ ಟ ು |
ಕಟ್ಟುತ್ತವೆ	ಕ ಟ ್ ಟ ು ತ ್ ತ ವ ೆ |
ಕಟ್ಟುನಿಟ್ಟಾಗಿ	ಕ ಟ ್ ಟ ು ನ ಿ ಟ ್ ಟ ಾ ಗ ಿ |
ಕಟ್ಟೆ	ಕ ಟ ್ ಟ ೆ |
ಕಟ್ರ	ಕ ಟ ್ ರ |
ಕಠಿಣ	ಕ ಠ ಿ ಣ |
ಕಡಕೊಳ	ಕ ಡ ಕ ೊ ಳ |
ಕಡಿಮೆ	ಕ ಡ ಿ ಮ ೆ |
ಕಡೂರು	ಕ ಡ ೂ ರ ು |
ಕಡೆ	ಕ ಡ ೆ |
ಕಡ್ಡಿ	ಕ ಡ ್ ಡ ಿ |
ಕಣ	ಕ ಣ |
ಕಣಗಾಲ್	ಕ ಣ ಗ ಾ ಲ ್ |
ಕಣ್ಣಿನ	ಕ ಣ ್ ಣ ಿ ನ |
ಕಣ್ಣು	ಕ ಣ ್ ಣ ು |
ಕತೆ	ಕ ತ ೆ |
ಕತ್ತಿ	ಕ ತ ್ ತ ಿ |
ಕತ್ತಿಯಂತೆ	ಕ ತ ್ ತ ಿ ಯ ಂ ತ ೆ |
ಕತ್ತು	ಕ ತ ್ ತ ು |
ಕಥೆ	ಕ ಥ ೆ |
ಕನಕದಾಸ	ಕ ನ ಕ ದ ಾ ಸ |
ಕನಕಪುರ	ಕ ನ ಕ ಪ ು ರ |
ಕನಸು	ಕ ನ ಸ ು |
ಕನಿಷ್ಠ	ಕ ನ ಿ ಷ ್ ಠ |
ಕನ್ನಡ	ಕ ನ ್ ನ ಡ |
ಕನ್ನಡಿಗ	ಕ ನ ್ ನ ಡ ಿ ಗ |
ಕನ್ನೌಜ್	ಕ ನ ್ ನ ೌ ಜ ್ |
ಕನ್ಯಾ	ಕ ನ ್ ಯ ಾ |
ಕನ್ಯಾಕುಮಾರಿ	ಕ ನ ್ ಯ ಾ ಕ ು ಮ ಾ ರ ಿ |
ಕಪಿಲ್	ಕ ಪ ಿ ಲ ್ |
ಕಪೂರ್	ಕ ಪ ೂ ರ ್ |
ಕಪ್ಪು	ಕ ಪ ್ ಪ ು |
ಕಪ್ಪೆ	ಕ ಪ ್ ಪ ೆ |
ಕಪ್ಪೆಗಳು	ಕ ಪ ್ ಪ ೆ ಗ ಳ ು |
ಕಬೀರ	ಕ ಬ ೀ ರ |
ಕಬ್ಬಿಣದ	ಕ ಬ ್ ಬ ಿ ಣ ದ |
ಕಬ್ಬು	ಕ ಬ ್ ಬ ು |
ಕಮಲ್	ಕ ಮ ಲ ್ |
ಕಮ್ಮಿ	ಕ ಮ ್ ಮ ಿ |
ಕರ	ಕ ರ |
ಕರನ್	ಕ ರ ನ ್ |
ಕರಳು	ಕ ರ ಳ ು |
ಕರಿಷ್ಮಾ	ಕ ರ ಿ ಷ ್ ಮ ಾ |
ಕರೆ	ಕ ರ ೆ |
ಕರೆಯಬೇಡ	ಕ ರ ೆ ಯ ಬ ೇ ಡ |
ಕರೆಯಿರಿ	ಕ ರ ೆ ಯ ಿ ರ ಿ |
ಕರ್ಕಾಟಕ	ಕ ರ ್ ಕ ಾ ಟ ಕ |
ಕರ್ತವ್ಯ	ಕ ರ ್ ತ ವ ್ ಯ |
ಕರ್ಮ	ಕ ರ ್ ಮ |
ಕರ್ರಗೆ	ಕ ರ ್ ರ ಗ ೆ |
ಕಲಘಟಗಿ	ಕ ಲ ಘ ಟ ಗ ಿ |
ಕಲಾಮ್	ಕ ಲ ಾ ಮ ್ |
ಕಲಾವಿದ	ಕ ಲ ಾ ವ ಿ ದ |
ಕಲಿ	ಕ ಲ ಿ |
ಕಲಿಸು	ಕ ಲ ಿ ಸ ು |
ಕಲೀನ್	ಕ ಲ ೀ ನ ್ |
ಕಲೆ	ಕ ಲ ೆ |
ಕಲ್ಪನೆ	ಕ ಲ ್ ಪ ನ ೆ |
ಕಲ್ಪಿಸು	ಕ ಲ ್ ಪ ಿ ಸ ು |
ಕಲ್ಯಾಣ	ಕ ಲ ್ ಯ ಾ ಣ |
ಕಲ್ಲಹಳ್ಳಿ	ಕ ಲ ್ ಲ ಹ ಳ ್ ಳ ಿ |
ಕಲ್ಲು	ಕ ಲ ್ ಲ ು |
ಕಳಿಸಬೇಡ	ಕ ಳ ಿ ಸ ಬ ೇ ಡ |
ಕಳಿಸಿರಿ	ಕ ಳ ಿ ಸ ಿ ರ ಿ |
ಕಳಿಸು	ಕ ಳ ಿ ಸ ು |
ಕಳೆ	ಕ ಳ ೆ |
ಕಳೆದ	ಕ ಳ ೆ ದ |
ಕಳೆದಂತೆ	ಕ ಳ ೆ ದ ಂ ತ ೆ |
ಕಳೆದು	ಕ ಳ ೆ ದ ು |
ಕಳ್ಳ	ಕ ಳ ್ ಳ |
ಕವನ	ಕ ವ ನ |
ಕವರತಿ	ಕ ವ ರ ತ ಿ |
ಕವಿ	ಕ ವ ಿ |
ಕವಿತೆ	ಕ ವ ಿ ತ ೆ |
ಕಶೇರು	ಕ ಶ ೇ ರ ು |
ಕಷಾಯ	ಕ ಷ ಾ ಯ |
ಕಷ್ಟ	ಕ ಷ ್ ಟ |
ಕಸಲಗೆರೆ	ಕ ಸ ಲ ಗ ೆ ರ ೆ |
ಕಾಂಗ್ರೆಸ್	ಕ ಾ ಂ ಗ ್ ರ ೆ ಸ ್ |
ಕಾಂತ್	ಕ ಾ ಂ ತ ್ |
ಕಾಕನಕೋಟೆ	ಕ ಾ ಕ ನ ಕ ೋ ಟ ೆ |
ಕಾಗದ	ಕ ಾ ಗ ದ |
ಕಾಗೆ	ಕ ಾ ಗ ೆ |
ಕಾಡು	ಕ ಾ ಡ ು |
ಕಾಣಿಸು	ಕ ಾ ಣ ಿ ಸ ು |
ಕಾಣಿಸುತ್ತದೆ	ಕ ಾ ಣ ಿ ಸ ು ತ ್ ತ ದ ೆ |
ಕಾಣು	ಕ ಾ ಣ ು |
ಕಾಣುಸುತ್ತದೆ	ಕ ಾ ಣ ು ಸ ು ತ ್ ತ ದ ೆ |
ಕಾದಂಬರಿ	ಕ ಾ ದ ಂ ಬ ರ ಿ |
ಕಾದು	ಕ ಾ ದ ು |
ಕಾನೂನು	ಕ ಾ ನ ೂ ನ ು |
ಕಾನ್	ಕ ಾ ನ ್ |
ಕಾಫಿ	ಕ ಾ ಫ ಿ |
ಕಾಮನಬಿಲ್ಲಿನಂತೆ	ಕ ಾ ಮ ನ ಬ ಿ ಲ ್ ಲ ಿ ನ ಂ ತ ೆ |
ಕಾಯಮ್	ಕ ಾ ಯ ಮ ್ |
ಕಾಯಿ	ಕ ಾ ಯ ಿ |
ಕಾಯಿದೆ	ಕ ಾ ಯ ಿ ದ ೆ |
